group,subgroup,type,name,location,waypoint,time,frequency,schedule
End of Dragons,End of Dragons,Meta Event,Aspenwood,The Echovald Wilds,Qinkai Waypoint,01:40,2,
End of Dragons,End of Dragons,World Boss,Jade Maw,Dragon's End,Jade Quarry Waypoint,,,"'00:05','00:45','02:05','02:45','04:05','04:45','06:05','06:45','08:05','08:45','10:05','10:45','12:05','12:45','14:05','14:45','16:05','16:45','18:05','18:45','20:05','20:45','22:05','22:45'"
End of Dragons,End of Dragons,Meta Event,The Battle for the Jade Sea,Dragon's End,Jade Quarry Waypoint,01:00,2,
Secrets of the Obscure,Secrets of the Obscure,Meta Event,Unlocking the Wizard's Tower,Skywatch Archipelago,Droknar's Light Waypoint,01:00,2,
Secrets of the Obscure,Secrets of the Obscure,Adventure,Target Practice,The Wizard's Tower,Tower Courtyard Waypoint,01:00,2,
Secrets of the Obscure,Secrets of the Obscure,Adventure,Fly by Night,The Wizard's Tower,Tower Courtyard Waypoint,01:40,2,
Secrets of the Obscure,Secrets of the Obscure,Meta Event,Defense of Amnytas,Amnytas,Bastion of the Natural Waypoint,00:00,2,
Secrets of the Obscure,Secrets of the Obscure,Meta Event,Convergences,The Wizard's Tower,Tower Courtyard Waypoint,01:30,3,
Festivals,Dragon Bash,Meta Event,Hologram Stampede,Wayfarer Foothills,Twinspur Haven Waypoint,00:00,1,
Festivals,Dragon Bash,Meta Event,Hologram Stampede,Dredgehaunt Cliffs,Havfrue Waypoint,00:15,1,
Festivals,Dragon Bash,Meta Event,Hologram Stampede,Lornar's Pass,Pinnacle Enclave Waypoint,00:30,1,
Festivals,Dragon Bash,Meta Event,Hologram Stampede,Snowden Drifts,Torstvedt Homestead Waypoint,00:45,1,
Festivals,Festival of the Four Winds,Race,Labyrinthine Skiffs Race,Labyrinthine Cliffs,Bazaar Docks Waypoint,00:00,2,
Festivals,Festival of the Four Winds,Meta Event,Treasure Hunt,Labyrinthine Cliffs,Bazaar Docks Waypoint,00:30,2,
Festivals,Festival of the Four Winds,Race,Skimmer Slalom Race,Labyrinthine Cliffs,Bazaar Docks Waypoint,01:15,2,
Festivals,Festival of the Four Winds,Meta Event,Fishing Tournament,Labyrinthine Cliffs,Bazaar Docks Waypoint,01:30,2,
Festivals,Festival of the Four Winds,Race,Flying Dolyak Race,Labyrinthine Cliffs,Bazaar Docks Waypoint,01:45,2,
Festivals,Halloween,Meta Event,Mad King Says,Lion's Arch,Trader's Forum Waypoint,00:00,2,
